med,rem,fgc,work,rec,case,rat,MinC
6,454,454,193723,2,1,0.4855120008544792,1
4,457,457,161043,1,1,0.465248638173856,1
6,446,446,190736,2,1,0.4899522407189832,1
6,448,448,190108,2,1,0.4918137845797031,1
6,454,454,191955,2,1,0.5033187359812015,1
6,441,441,199419,2,1,0.5016555533515419,1
6,440,440,190244,2,1,0.4890825030135649,1
6,443,443,193244,2,1,0.4904252559622809,1
6,454,454,190541,2,1,0.4920274043669988,1
6,443,443,193220,2,1,0.5064314814532249,1
6,448,448,194991,2,1,0.5187909120039061,1
6,435,435,187835,2,1,0.4807055556403253,1
4,454,454,199383,2,1,0.509864656606192,1
4,455,455,196880,2,1,0.5139539496772816,1
6,464,464,196858,2,1,0.4927598150662984,1
6,452,452,192069,2,1,0.4974747089430398,1
6,450,450,195427,2,1,0.5008315913148298,1
6,436,436,193821,2,1,0.503486580099791,1
4,464,464,163611,1,1,0.4823077040450433,1
6,457,457,193832,2,1,0.4940415337900728,1
6,446,446,194440,2,1,0.49308024474724205,1
6,449,449,188690,2,1,0.4924546439415902,1
6,439,439,192620,2,1,0.4964066100065612,1
6,444,444,193691,2,1,0.4958115263133802,1
6,432,432,191605,2,1,0.4802630575094984,1
6,446,446,195317,2,1,0.4995040969223492,1
6,446,446,196130,2,1,0.5034713215435556,1
6,452,452,206493,2,1,0.5165784213497718,1
6,463,463,196077,2,1,0.5091322459068923,1
6,460,460,196841,2,1,0.5084608694325343,1
4,443,443,164995,1,1,0.4845201946991776,1
6,439,439,198504,2,1,0.505912690541221,1
6,468,468,192874,2,1,0.4949417886079619,1
6,442,442,191853,2,1,0.4987411691105788,1
6,459,459,191303,2,1,0.4780658254115995,1
6,438,438,189584,2,1,0.4983139295359873,1
6,450,450,194644,2,1,0.5013198651143629,1
6,440,440,192180,2,1,0.4966354883500923,1
6,457,457,189821,2,1,0.4905625829683996,1
6,440,440,192533,2,1,0.4838183011123488,1
6,442,442,194337,2,1,0.4837114912187009,1
6,440,440,195523,2,1,0.4984054808733998,1
6,445,445,189223,2,1,0.4901353433938081,1
6,441,441,193527,2,1,0.5012740894456567,1
6,451,451,189785,2,1,0.4835589056563468,1
6,446,446,190522,2,1,0.4986343592169309,1
4,455,455,191190,2,1,0.4860765674351893,1
6,463,463,195037,2,1,0.4864122556723683,1
6,445,445,194004,2,1,0.5002670247341197,1
6,451,451,194137,2,1,0.5149304972763478,1
4,455,455,163607,1,1,0.4816821032393915,1
6,451,451,187042,2,1,0.4733356729786228,1
6,435,435,195788,2,1,0.5124586111662115,1
6,448,448,193227,2,1,0.5009231426522422,1
6,459,459,195937,2,1,0.5174023833864839,1
6,453,453,194701,2,1,0.482857012069518,1
6,439,439,190846,2,1,0.490242153287456,1
6,447,447,190443,2,1,0.4877550086210843,1
6,441,441,188965,2,1,0.48360468132505297,1
6,451,451,188642,2,1,0.4776843615057143,1
6,453,453,187784,2,1,0.4853136396234189,1
4,480,480,187330,2,1,0.4764636770068816,1
6,437,437,192892,2,1,0.4901048262813373,1
2,448,448,191679,2,1,0.4685139692082335,1
4,470,470,187287,2,1,0.4808886583151502,1
6,446,446,191828,2,1,0.4988937546729328,1
6,442,442,194618,2,1,0.4891740543509773,1
4,455,455,195886,2,1,0.525687779422311,1
4,448,448,163224,1,1,0.480842882646444,1
6,459,459,194529,2,1,0.5071181164838183,1
6,453,453,193783,2,1,0.498374963760929,1
4,455,455,190928,2,1,0.4867174267970765,1
6,463,463,192581,2,1,0.5075758731708806,1
6,444,444,195790,2,1,0.4975052260555106,1
6,445,445,190245,2,1,0.4918290431359385,1
6,444,444,191228,2,1,0.4886705219952088,1
4,465,465,161761,1,1,0.4707417184186032,1
6,449,449,199550,2,1,0.5007705570898882,1
6,444,444,185891,2,1,0.4753498024016968,1
6,441,441,189586,2,1,0.4758228176449945,1
4,449,449,190802,2,1,0.4968643666936234,1
6,438,438,191509,2,1,0.4976883287303355,1
6,450,450,188242,2,1,0.4892503471321544,1
6,441,441,190371,2,1,0.4864427727848391,1
4,444,444,164047,1,1,0.4841845064619986,1
4,458,458,201022,2,1,0.5134199002090423,1
6,444,444,189854,2,1,0.4887162976639151,1
6,455,455,191169,2,1,0.4883348337580298,1
6,447,447,190667,2,1,0.4875108717213178,1
6,441,441,198680,2,1,0.5032424432000244,1
6,448,448,195174,2,1,0.5051802798419214,1
4,442,442,191327,2,1,0.486549582678487,1
6,442,442,191310,2,1,0.4816973617956269,1
6,447,447,193839,2,1,0.5080794055266491,1
6,446,446,191624,2,1,0.4975510017242169,1
6,451,451,194923,2,1,0.4999313364969407,1
6,456,456,193992,2,1,0.5140912766834003,1
4,441,441,191865,2,1,0.4922105070418237,1
6,441,441,195297,2,1,0.5102308619558418,1
6,449,449,190223,2,1,0.4856798449730687,1
6,464,464,188504,2,1,0.4805224529655004,1
6,441,441,191964,2,1,0.4834978714314052,1
4,454,454,193806,2,1,0.512626455284801,1
6,444,444,194209,2,1,0.4743427376901598,1
6,448,448,193726,2,1,0.5113905122297329,1
6,448,448,194504,2,1,0.5039595953430887,1
4,450,450,188766,2,1,0.4843370920243527,1
6,446,446,187548,2,1,0.4684987106519981,1
6,453,453,194538,2,1,0.5135572272151611,1
6,438,438,192333,2,1,0.4994888383661138,1
6,468,468,192417,2,1,0.4855730350794208,1
6,434,434,191858,2,1,0.4794848711414926,1
6,441,441,190424,2,1,0.4879381112959092,1
6,460,460,193382,2,1,0.5016708119077773,1
6,453,453,192391,2,1,0.4936600698841875,1
6,446,446,192471,2,1,0.5024032226070769,1
6,441,441,191673,2,1,0.4985580664357538,1
6,448,448,191172,2,1,0.4903031875123976,1
6,461,461,192757,2,1,0.5022811541571937,1
6,468,468,196685,2,1,0.5128095579596259,1
6,437,437,190587,2,1,0.4877092329523781,1
6,454,454,193718,2,1,0.4931260204159482,1
2,438,438,189164,2,1,0.4869005294719014,1
4,445,445,193755,2,1,0.4942093779086623,1
6,442,442,194786,2,1,0.4998092680470574,1
6,451,451,195256,2,1,0.4989853060103453,1
6,451,451,194585,2,1,0.49442299769595793,1
6,438,438,192418,2,1,0.5086897477760655,1
6,468,468,195497,2,1,0.4964066100065612,1
6,435,435,191306,2,1,0.4967422982437402,1
6,442,442,187806,2,1,0.4699177563818912,1
6,441,441,191295,2,1,0.4806902970840899,1
6,470,470,194835,2,1,0.5004806445214154,1
4,448,448,188430,2,1,0.4834826128751698,1
6,456,456,193855,2,1,0.5058058806475731,1
6,450,450,189925,2,1,0.482857012069518,1
6,446,446,193687,2,1,0.5067519111341685,1
6,438,438,188567,2,1,0.4936295527717167,1
6,451,451,192814,2,1,0.5035628728809679,1
6,447,447,190811,2,1,0.496849108137388,1
6,443,443,195919,2,1,0.492485161054061,1
4,444,444,161676,1,1,0.4652181210613852,1
4,440,440,187691,2,1,0.478233669530189,1
4,442,442,192197,2,1,0.497367899049392,1
6,441,441,192993,2,1,0.4929429177411233,1
4,440,440,190423,2,1,0.4984054808733998,1
6,451,451,196426,2,1,0.5077589758457055,1
2,456,456,195031,2,1,0.49442299769595793,1
6,451,451,197675,2,1,0.5145337748142271,1
4,442,442,197877,2,1,0.5048751087172132,1
6,447,447,188405,2,1,0.4871141492591971,1
6,452,452,194541,2,1,0.4892808642446252,1
6,447,447,194096,2,1,0.4994888383661138,1
6,438,438,191684,2,1,0.4971695378183316,1
6,444,444,188359,2,1,0.481590551901979,1
6,459,459,190791,2,1,0.4920426629232342,1
6,457,457,194739,2,1,0.4970932450371546,1
4,434,434,191102,2,1,0.4820177914765705,1
6,470,470,187652,2,1,0.4785998748798389,1
6,440,440,194772,2,1,0.5052260555106276,1
4,450,450,189452,2,1,0.493003951966065,1
6,449,449,186731,2,1,0.4729389505165021,1
6,443,443,194885,2,1,0.4825060652761036,1
6,451,451,192684,2,1,0.4934922257655981,1
6,444,444,189948,2,1,0.5030898576376703,1
6,457,457,190464,2,1,0.4996566824847033,1
6,440,440,195276,2,1,0.5143201550269314,1
6,454,454,197450,2,1,0.5097425881563087,1
6,440,440,194519,2,1,0.5030898576376703,1
4,458,458,190473,2,1,0.4910050810992264,1
6,439,439,189198,2,1,0.4894792254756855,1
6,453,453,193869,2,1,0.5096662953751316,1
4,459,459,190488,2,1,0.5048293330485071,1
6,437,437,192940,2,1,0.4720692128110838,1
6,450,450,190265,2,1,0.4954148038512596,1
6,438,438,192835,2,1,0.4910813738804034,1
4,449,449,163195,1,1,0.4806597799716191,1
6,446,446,190906,2,1,0.4812548636648,1
6,455,455,196245,2,1,0.4973373819369211,1
6,438,438,191003,2,1,0.4908982712055786,1
6,472,472,194938,2,1,0.5063704472282833,1
6,441,441,192384,2,1,0.4962692830004425,1
6,474,474,196053,2,1,0.5073927704960557,1
6,453,453,189269,2,1,0.4897233623754521,1
4,450,450,191381,2,1,0.4962235073317362,1
6,444,444,188078,2,1,0.479912110716084,1
6,444,444,191460,2,1,0.4988022033355204,1
4,463,463,165605,1,1,0.4971542792620962,1
6,458,458,192591,2,1,0.4880754383020279,1
4,442,442,191459,2,1,0.4953995452950242,1
6,474,474,191786,2,1,0.4966507469063277,1
4,443,443,191280,2,1,0.496025146100676,1
6,443,443,189340,2,1,0.4876176816149656,1
4,449,449,201031,2,1,0.4982376367548103,1
6,448,448,189832,2,1,0.4771045363687688,1
4,453,453,197934,2,1,0.4983444466484581,1
4,448,448,194877,2,1,0.4991531501289348,1
6,442,442,196069,2,1,0.5032119260875536,1
6,445,445,191362,2,1,0.4912339594427576,1
6,448,448,196133,2,1,0.5126722309535072,1
6,443,443,189247,2,1,0.4822771869325724,1
6,447,447,191490,2,1,0.4864427727848391,1
6,448,448,188709,2,1,0.4929429177411233,1
6,452,452,198571,2,1,0.5048293330485071,1
6,456,456,193608,2,1,0.4901811190625143,1
