case,fgc,med,rec,rem,work
AKS,443,6,2,443,189107
AKS,456,4,2,456,192408
AKS,442,6,2,442,195032
AKS,445,2,2,445,188906
AKS,446,4,2,446,190640
AKS,444,6,2,444,189972
AKS,435,6,2,435,190963
AKS,469,6,2,469,192238
AKS,451,6,2,451,191572
AKS,458,6,2,458,193068
AKS,447,6,2,447,187814
AKS,446,6,2,446,191764
AKS,463,6,2,463,189450
AKS,439,6,2,439,188958
AKS,446,6,2,446,192329
AKS,444,6,2,444,193196
AKS,446,6,2,446,188610
AKS,440,4,1,440,164667
AKS,449,6,2,449,193092
AKS,445,6,2,445,197137
AKS,449,6,2,449,195211
AKS,454,6,2,454,195077
AKS,449,6,2,449,191122
AKS,449,6,2,449,188408
AKS,456,6,2,456,187302
AKS,446,6,2,446,189425
AKS,464,6,2,464,192575
AKS,448,6,2,448,196752
AKS,448,6,2,448,192709
AKS,448,4,2,448,190537
AKS,442,6,2,442,192069
AKS,461,6,2,461,194879
AKS,446,6,2,446,194144
AKS,433,6,2,433,194466
AKS,441,6,2,441,188961
AKS,441,6,2,441,199481
AKS,461,6,2,461,192280
AKS,458,6,2,458,196330
AKS,447,4,2,447,193167
AKS,434,6,2,434,195032
AKS,451,6,2,451,188506
AKS,443,6,2,443,193838
AKS,445,6,2,445,195866
AKS,454,4,2,454,195951
AKS,454,6,2,454,197325
AKS,440,6,2,440,189927
AKS,445,6,2,445,192602
AKS,436,6,2,436,195660
AKS,457,6,2,457,188656
AKS,444,6,2,444,195213
AKS,447,4,2,447,193077
AKS,446,6,2,446,195598
AKS,445,6,2,445,196048
AKS,454,6,2,454,194382
AKS,448,6,2,448,193201
AKS,452,6,2,452,195786
AKS,445,6,2,445,190416
AKS,446,6,2,446,197984
AKS,448,6,2,448,196306
AKS,448,6,2,448,195150
AKS,447,4,2,447,194920
AKS,448,6,2,448,190777
AKS,448,6,2,448,193895
AKS,442,6,2,442,197769
AKS,460,4,1,460,165797
AKS,455,6,2,455,196278
AKS,453,6,2,453,192890
AKS,441,6,2,441,193660
AKS,441,6,2,441,188194
AKS,450,4,2,450,191993
AKS,448,6,2,448,190454
AKS,454,4,2,454,187672
AKS,450,6,2,450,196812
AKS,446,6,2,446,190758
AKS,459,4,2,459,190119
AKS,447,6,2,447,196337
AKS,444,6,2,444,196975
AKS,463,6,2,463,194119
AKS,443,6,2,443,189287
AKS,439,6,2,439,191417
AKS,444,4,1,444,163064
AKS,437,6,2,437,191444
AKS,462,6,2,462,188292
AKS,457,2,2,457,188112
AKS,439,6,2,439,192295
AKS,441,6,2,441,191221
AKS,459,6,2,459,196975
AKS,447,6,2,447,187271
AKS,450,6,2,450,192356
AKS,451,6,2,451,189291
AKS,449,6,2,449,192783
AKS,460,6,2,460,196933
AKS,446,6,2,446,190728
AKS,451,6,2,451,192571
AKS,455,6,2,455,193287
AKS,447,6,2,447,198389
AKS,448,6,2,448,191609
AKS,440,6,2,440,190219
AKS,453,6,2,453,187176
AKS,445,6,2,445,189505
AKS,458,6,2,458,193049
AKS,448,4,1,448,164868
AKS,459,6,2,459,193774
AKS,448,4,2,448,193179
AKS,450,6,2,450,195743
AKS,446,6,2,446,190484
AKS,442,6,2,442,191122
AKS,451,6,2,451,194763
AKS,440,6,2,440,199160
AKS,440,6,2,440,192275
AKS,441,6,2,441,189868
AKS,439,6,2,439,193444
AKS,445,4,2,445,189941
AKS,448,6,2,448,193944
AKS,453,6,2,453,196352
AKS,438,6,2,438,194156
AKS,449,4,1,449,162372
AKS,451,4,2,451,190761
AKS,446,2,2,446,196407
AKS,442,6,2,442,187875
AKS,441,6,2,441,194575
AKS,447,4,2,447,192188
AKS,447,6,2,447,191107
AKS,448,6,2,448,190012
AKS,448,6,2,448,190830
AKS,456,6,2,456,192949
AKS,457,6,2,457,192121
AKS,462,6,2,462,193546
AKS,446,6,2,446,193197
AKS,437,6,2,437,189326
AKS,443,6,2,443,190932
AKS,457,6,2,457,194954
AKS,459,6,2,459,196174
AKS,437,6,2,437,188438
AKS,442,6,2,442,194363
AKS,442,4,2,442,189565
AKS,457,4,2,457,192631
AKS,441,6,2,441,193384
AKS,445,6,2,445,192174
AKS,443,6,2,443,187954
AKS,453,4,2,453,195733
AKS,439,6,2,439,194013
AKS,454,6,2,454,194182
AKS,438,6,2,438,195015
AKS,449,6,2,449,190505
AKS,454,6,2,454,190969
AKS,455,6,2,455,192965
AKS,446,6,2,446,191569
AKS,471,4,2,471,189219
AKS,438,6,2,438,196049
AKS,452,6,2,452,193652
AKS,434,6,2,434,192094
AKS,445,6,2,445,190007
AKS,459,6,2,459,193829
AKS,438,6,2,438,196953
AKS,452,6,2,452,193410
AKS,450,6,2,450,192604
AKS,458,4,2,458,188359
AKS,451,4,2,451,193229
AKS,455,6,2,455,190988
AKS,443,6,2,443,196748
AKS,449,6,2,449,189304
AKS,437,6,2,437,193617
AKS,446,6,2,446,192951
AKS,441,4,2,441,192352
AKS,474,6,2,474,200086
AKS,455,6,2,455,192690
AKS,448,6,2,448,194024
AKS,445,6,2,445,194764
AKS,450,4,2,450,199109
AKS,445,6,2,445,191101
AKS,442,6,2,442,195744
AKS,447,6,2,447,187652
AKS,465,6,2,465,196227
AKS,444,6,2,444,198029
AKS,461,6,2,461,194142
AKS,459,4,2,459,190373
AKS,445,6,2,445,191355
AKS,446,6,2,446,188574
AKS,456,6,2,456,190157
AKS,442,6,2,442,193722
AKS,441,4,1,441,163861
AKS,468,6,2,468,198011
AKS,449,4,1,449,164840
AKS,453,6,2,453,189035
AKS,465,6,2,465,192062
AKS,445,2,1,445,161764
AKS,465,6,2,465,199373
AKS,456,6,2,456,188009
AKS,458,6,2,458,192841
AKS,440,6,2,440,194031
AKS,442,4,2,442,194164
AKS,441,6,2,441,189375
AKS,449,6,2,449,192718
AKS,462,6,2,462,192449
AKS,439,6,2,439,190965
AKS,454,6,2,454,197181
AKS,457,6,2,457,189020
AKS,447,4,2,447,191924
AKS,449,6,2,449,197036
AKS,454,4,2,454,195192
AKS,451,6,2,451,191300
AKS,445,6,2,445,193713
AKS,465,6,2,465,194311
AKS,471,6,2,471,194596
AKS,450,4,2,450,192293
AKS,442,6,2,442,187818
AKS,453,6,2,453,190583
AKS,433,6,2,433,189375
AKS,437,6,2,437,195844
AKS,452,6,2,452,193130
AKS,450,6,2,450,187881
AKS,434,6,2,434,192124
AKS,437,4,2,437,188321
AKS,447,6,2,447,189366
AKS,453,4,2,453,189564
AKS,440,6,2,440,191567
AKS,439,6,2,439,194080
AKS,440,6,2,440,193606
AKS,446,6,2,446,193285
AKS,462,6,2,462,188906
AKS,437,6,2,437,193792
AKS,454,6,2,454,192086
AKS,444,6,2,444,193976
AKS,442,6,2,442,194356
AKS,446,4,2,446,193581
AKS,459,6,2,459,188981
AKS,451,6,2,451,191887
AKS,446,6,2,446,189369
AKS,444,6,2,444,191172
AKS,449,6,2,449,196946
AKS,446,6,2,446,197419
AKS,466,6,2,466,195289
AKS,440,6,2,440,195703
AKS,480,6,2,480,198628
AKS,454,6,2,454,190717
AKS,456,6,2,456,192577
AKS,442,4,2,442,190663
AKS,447,6,2,447,193944
AKS,437,6,2,437,196225
AKS,450,6,2,450,195346
AKS,450,6,2,450,194732
