MinC,case,fgc,med,rat,rec,rem,work
1,1,31,6,0.11291331614202665,0,31,128290
1,1,29,6,0.1152173581335734,0,29,128606
1,1,27,6,0.11654485252605397,0,27,129217
1,1,30,0,0.11424081053450726,0,30,128372
1,1,28,6,0.11381357095991575,0,28,128826
1,1,29,6,0.11410348352838855,0,29,128356
1,1,29,6,0.11439339609686132,0,29,128599
1,1,30,0,0.11541571936463373,0,30,128239
1,1,30,6,0.11358469261638465,0,30,128910
1,1,28,6,0.11170789019942932,0,28,128468
1,1,25,6,0.11204357843660832,0,25,128619
1,1,28,0,0.1128370233608496,0,28,128787
1,1,27,6,0.1126691792422601,0,27,128699
1,1,26,6,0.11291331614202665,0,26,128553
1,1,31,6,0.11504951401498392,0,31,129288
1,1,28,6,0.11631597418252285,0,28,128947
1,1,29,6,0.11158582174954604,0,29,127875
1,1,28,6,0.11189099287425423,0,28,128122
1,1,28,6,0.1136762439537971,0,28,128772
1,1,28,0,0.1169263164319392,0,28,129737
1,1,28,6,0.11312693592932235,0,28,128946
1,1,28,0,0.11358469261638465,0,28,128514
1,1,28,6,0.11422555197827182,0,28,128724
1,1,26,6,0.11430184475944885,0,26,128672
1,1,28,0,0.11363046828509088,0,28,128538
1,1,30,0,0.1096327265514137,0,30,127451
1,1,30,6,0.11523261668980883,0,30,128894
1,1,31,6,0.11277598913590794,0,31,128778
1,1,32,6,0.11376779529120955,0,32,128753
1,1,27,6,0.11541571936463373,0,27,129318
1,1,27,6,0.11366098539756167,0,27,128375
1,1,31,0,0.11565985626440024,0,31,129605
1,1,29,6,0.1152478752460442,0,29,128966
1,1,28,0,0.11390512229732826,0,28,128707
1,1,28,6,0.11346262416650135,0,28,128712
1,1,28,6,0.11553778781451697,0,28,128662
1,1,31,0,0.11312693592932235,0,31,128351
1,1,28,0,0.11376779529120955,0,28,129263
1,1,26,0,0.11634649129499365,0,26,129221
1,1,26,0,0.1146985672215695,0,26,129074
1,1,28,0,0.11437813754062592,0,28,129011
1,1,28,6,0.11651433541358315,0,28,129736
1,1,31,6,0.11303538459190993,0,31,128640
1,1,28,0,0.1128675404733204,0,28,128622
1,1,29,0,0.11514106535239635,0,29,128732
1,1,29,6,0.1142102934220364,0,29,128783
1,1,28,6,0.11176892442437096,0,28,128247
1,1,27,0,0.11439339609686132,0,27,128666
1,1,30,6,0.1148511527839236,0,30,128844
1,1,26,6,0.11509528968369015,0,26,128444
1,1,27,6,0.11218090544272699,0,27,128046
1,1,35,0,0.1162396814013458,0,35,128934
1,1,30,6,0.1155530463707524,0,30,129390
1,1,33,6,0.1141797763095656,0,33,129291
1,1,30,0,0.1165906281947602,0,30,129735
1,1,29,0,0.11331003860414728,0,29,128392
1,1,29,6,0.1125013351236706,0,29,128274
1,1,30,6,0.11465279155286327,0,30,128547
1,1,28,6,0.11173840731190014,0,28,127970
1,1,32,0,0.11102125516883593,0,32,128628
1,1,27,0,0.11340158994155973,0,27,128702
1,1,28,0,0.11585821749546055,0,28,129000
1,1,29,6,0.11593451027663762,0,29,129370
1,1,27,6,0.11570563193310647,0,27,129016
1,1,30,0,0.11382882951615117,0,30,128304
1,1,30,0,0.11274547202343715,0,30,128999
1,1,30,6,0.1138746051848574,0,30,128280
1,1,28,0,0.11413400064085935,0,28,128547
1,1,28,6,0.11361520972885546,0,28,127662
1,1,30,0,0.11372201962250332,0,30,128849
1,1,31,0,0.11265392068602467,0,31,128154
1,1,30,6,0.11500373834627768,0,30,128493
1,1,28,6,0.1128675404733204,0,28,128622
1,1,30,0,0.1155683049269878,0,30,129092
1,1,28,6,0.11453072310298,0,28,128787
1,1,29,6,0.11405770785968232,0,29,128973
1,1,30,6,0.11448494743427375,0,30,128621
1,1,30,6,0.11735355600653065,0,30,129094
1,1,28,0,0.11242504234249356,0,28,128106
1,1,28,6,0.11515632390863174,0,28,128793
1,1,29,6,0.1159039931641668,0,29,128969
1,1,29,0,0.11160108030578146,0,29,128384
1,1,29,6,0.1151868410211026,0,29,128461
1,1,28,6,0.1138746051848574,0,28,128740
1,1,27,6,0.11314219448555778,0,27,128162
1,1,29,6,0.11407296641591773,0,29,128820
1,1,27,6,0.11276073057967255,0,27,127838
1,1,29,6,0.11520209957733801,0,29,129349
1,1,28,6,0.1148511527839236,0,28,128245
1,1,28,6,0.11749088301264934,0,28,129339
1,1,27,6,0.11202831988037293,0,27,127743
1,1,32,6,0.11349314127897217,0,32,128054
1,1,27,6,0.1140271907472115,0,27,129193
1,1,33,0,0.11440865465309673,0,33,128596
1,1,29,0,0.11527839235851504,0,29,129122
1,1,29,0,0.11221142255519782,0,29,128324
1,1,31,6,0.11567511482063568,0,31,128646
1,1,28,6,0.1155835634832232,0,28,129091
1,1,30,0,0.11356943406014924,0,30,128170
1,1,29,0,0.11338633138532432,0,29,128783
